character,photo,skill_in_screenshot,csv_skill_name,status,mod_base_text,mod_condition_text,focus_state_label,notes,source_csv,csv_damage_multi,csv_dmg_con1,csv_dmg_max,csv_all_crit_dmg,csv_condition_1,csv_con_max_dmg,csv_consume_stains,csv_required_stains,csv_damage_element,csv_lune_mode,csv_dmmax,csv_condition,csv_stance,csv_cost,csv_element,csv_maelle_mode,calc_base_stanceless_multiplier,calc_base_stanceless_scenario,calc_focus_multiplier,calc_focus_scenario,cost_base_stanceless,cost_focus,csv_mask,csv_monoco_mode,calc_base_nomask_multiplier,calc_base_nomask_scenario,cost_base_nomask,csv_condmg,csv_twilightdmg,csv_contwilight,csv_foretell,csv_lunar,csv_attack_type,calc_base_0f_multiplier,calc_base_0f_scenario,calc_10f_multiplier,calc_10f_scenario,calc_10f_twilight_multiplier,calc_10f_twilight_scenario,csv_srankmax,csv_grade_bonus,csv_verso_mode,calc_base_d_multiplier,calc_base_d_scenario,cost_base_d
lune,photo_1_2026-03-04_14-38-40.jpg,Lightning Dance,Lightning Dance,match,360% Lightning damage over 6 hits. [0.2x],Crit adds hit; consume Earth+Fire+Ice => +400% damage.,,"Matches base (3.6), all-crit (7.2), consume (18), and consume+all-crit (36).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,3.6,18,36,7.2,Consume Earth + Fire + Ice,Consume Earth + Fire + Ice + all crits,Earth|Fire|Ice,,Lightning,consume_crit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_2_2026-03-04_14-38-40.jpg,Elemental Trick,Elemental Trick,match,120% Ice/Fire/Lightning/Earth over 4 hits. [0.4x],Crit grants corresponding stain.,,Direct/base skill handling matches.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.2,,,,,,,,Earth|Fire|Ice|Lightning,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_3_2026-03-04_14-38-40.jpg,Rockslide,Rock Slide,match_name_variant,250% Earth damage over 2 hits.,Can Stun; consume Fire+Ice+Lightning => +400% damage.,,"Name differs (Rockslide vs Rock Slide), values align (2.5 -> 12.5).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,2.5,12.5,,,Consume Fire + Ice + Lightning,,Fire|Ice|Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_4_2026-03-04_14-38-40.jpg,Earth Rising,Earth Rising,match,120% Earth damage to all enemies. [1x],Consume Lightning => +50% damage.,,Matches 1.2 base and 1.8 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.2,1.8,,,Consume Lightning,,Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_5_2026-03-04_14-38-40.jpg,Rebirth,Rebirth,match,Revive ally with 30-70% HP and +2 AP.,Consume 3 Lightning => costs 0 AP.,,Utility skill (no direct damage) with AP-cost reduction modeled.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,,,,,,,Lightning|Lightning|Lightning,,,utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_6_2026-03-04_14-38-40.jpg,Thunderfall,Thunderfall,match,60-180% Lightning over 2-6 hits. [0.2x],Crit adds hit; consume Fire => +50% damage.,,"Matches base 1.8, all-crit 3.6, consume 2.7, consume+all-crit 5.4.",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.8,2.7,5.4,3.6,Consume Fire,Consume Fire + all crits,Fire,,Lightning,consume_crit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_7_2026-03-04_14-38-40.jpg,Ice Lance,Ice Lance,match,140% Ice damage. [1x],Applies Slow; consume Earth => +50% damage.,,Matches 1.4 base and 2.1 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.4,2.1,,,Consume Earth,,Earth,,Ice,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_8_2026-03-04_14-38-40.jpg,Crippling Tsunami,Crippling Tsunami,match,250% Ice damage to all enemies. [1x],Applies Slow; consume Earth+Fire+Lightning => +400% damage.,,Matches 2.5 base and 12.5 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,2.5,12.5,,,Consume Earth + Fire + Lightning,,Earth|Fire|Lightning,,Ice,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_9_2026-03-04_14-38-40.jpg,Immolation,Immolation,match,70% Fire damage. [1x],Applies Burn; marked target adds Burn; consume Ice => +50% damage.,,Matches 0.7 base and 1.05 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,0.7,1.05,,,Consume Ice,,Ice,,Fire,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_10_2026-03-04_14-38-40.jpg,Crustal Crush,Crystal Crush,match_name_variant,450% Earth damage over 5 hits. [2x],Consume Lightning+Lightning => +200% damage.,,"Name differs (Crustal vs Crystal), values align (4.5 -> 13.5).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,4.5,13.5,,,Consume Lightning + Lightning,,Lightning|Lightning,,Earth,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_11_2026-03-04_14-38-40.jpg,Thermal Transfer,Thermal Transfer,match,100% Ice damage over 2 hits. [0.7x],Recover AP vs burning target; consume Earth+Earth => extra turn.,,Mode utility_extra_turn is modeled with warning that extra-turn damage is not folded in.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1,,,,Consume Earth + Earth,,Earth|Earth,,Ice,utility_extra_turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_12_2026-03-04_14-38-40.jpg,Healing Light,Healing Light,match,Restore 30-50% HP and cleanse status effects.,Consume Earth+Earth => costs 0 AP.,,Utility skill with AP-cost reduction modeled.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,,,,,,,Earth|Earth,,,utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_13_2026-03-04_14-38-40.jpg,Revitalization,Revitalization,match,1-3 allies restore 40-60% HP.,Consume Fire+Fire+Fire => apply Regen.,,Utility skill with no direct damage in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,,,,,,,Fire|Fire|Fire,,,utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_14_2026-03-04_14-38-40.jpg,Mayhem,Mayhem,needs_clarification,Consume 1/2/3/4 stains: 60/90/120/180% elemental damage. [0.4x],Hits once per stain consumed (max 4); can Stun at 4 stains.,,"Potential mismatch: calculator uses base*(1+stains) from sheet (2.4, 4.8, 7.2, 9.6, 12.0).",games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,2.4,,12,,,Consume 4 stains,All,,Varies,consume_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_15_2026-03-04_14-38-40.jpg,Electrify,Electrify,mismatch,60% Lightning damage over 3 hits. [0.5x],Crit adds hit; consume Fire => +100% damage and grants one Light stain.,,Current sheet/logic only models all-crit 1.2 and does not model consume damage boost.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,0.6,,,1.2,,,Fire,,Lightning,crit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lune,photo_16_2026-03-04_14-38-40.jpg,Wildfire,Wildfire,match,125% Fire damage to all enemies. [1x],Applies Burn; consume Ice+Ice => +100% damage.,,Matches 1.25 base and 2.5 consume.,games/expedition33/calculator/enhanced_descriptions_mod/lune/lune_mod_verification.csv,1.25,2.5,,,Consume Ice + Ice,,Ice|Ice,,Fire,consume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_1_2026-03-04_15-11-10.jpg,Fleuret Fury,Fleuret Fury,match,240% Physical damage over 3 hits. [0.5x],"If in Virtuose stance, stay in Virtuose stance. Can Stun.",Base,Base multiplier aligns with sheet row.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,2.4,,,,,,,,,,2.4,,Stanceless,6.0,Physical,direct,2.4,Base value,2.4,Base value,6,6,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_2_2026-03-04_15-11-10.jpg,Rain of Fire,Rain of Fire,mismatch,250% Fire damage over 2 hits. [0.7x],Applies 3 Burn; Defensive: applies 2 more Burn.,Defensive stance,Screenshot shows 250% while current sheet row is 160% (Damage Multi 1.6).,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1.6,,,,,,,,,,1.6,,Offensive,5.0,Fire,direct,1.6,Base value,1.6,Base value,5,5,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_3_2026-03-04_15-11-10.jpg,Gustave's Homage,G-Homage,needs_clarification,400% Lightning damage over 8 hits. [0.1x],Last hit deals +100% damage. Mark: +50% damage without consuming Mark.,Marked target,Name differs and headline percent (400%) appears to be pre-final-hit wording; sheet base total is 450% with marked branch at 675%.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,4.5,,,,,,,,,,6.75,Marked,Virtuoso,8.0,Lightning,marked,4.5,Base value | breakpoint: Marked,6.75,Marked target,8,8,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_4_2026-03-04_15-11-10.jpg,Momentum Strike,Momentum Strike,match,350% damage. [1x] Uses weapon element.,Mark: +100% damage. Virtuose: costs 4 AP instead.,Marked target + Virtuoso stance,Marked breakpoint and Virtuoso AP-cost reduction align; calculator also applies global stance multiplier.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,3.5,,,,,,,,,,7,Marked,Defensive,7.0,Weapon,marked,3.5,Base value | breakpoint: Marked,21.0,Marked target | Virtuoso stance,7,4,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_5_2026-03-04_15-11-10.jpg,Degagement,Degagement,match,100% Fire damage. [1x],Target becomes weak to Fire for 2 turns.,Base,Base multiplier aligns with sheet row.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1,,,,,,,,,,1,,Offensive,2.0,Fire,direct,1.0,Base value,1.0,Base value,2,2,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_6_2026-03-04_15-11-10.jpg,Payback,Payback,match,500% Physical damage. [1x],AP cost reduced per attack parried since last turn. Can Stun.,Base,Base multiplier aligns; AP reduction from parries is not modeled in the current multiplier logic.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,5,,,,,,,,,,5,,Defensive,9.0,Physical,direct,5.0,Base value,5.0,Base value,9,9,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_7_2026-03-04_15-11-10.jpg,Combustion,Combustion,match,160% Physical damage over 2 hits. [0.7x],"Deals +40% damage per Burn (max +400%), consumes up to 10 Burn.",Consume 10 Burn,Derived burn-scaling branch aligns (1.6 base -> 8.0 at 10 Burn).,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1.6,,,,,,,,,,8,Consume 10 Burn,Offensive,4.0,Physical,combustion,1.6,Consume 0 Burn,8.0,Consume 10 Burn,4,4,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_8_2026-03-04_15-11-10.jpg,Fencer's Flurry,Fencer's Flurry,match,140% damage to all enemies. [1x] Uses weapon element.,Applies Defenceless on hit (1 turn).,Base,Base multiplier aligns with sheet row.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1.4,,,,,,,,,,1.4,,Offensive,3.0,Weapon,direct,1.4,Base value,1.4,Base value,3,3,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_9_2026-03-04_15-11-10.jpg,Guard Up,Guard Up,match,Apply Shell to 1-3 allies.,Utility skill.,Base,"No direct damage multiplier, consistent with utility behavior.",games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,,,,,,,,,,,,,Offensive,3.0,,direct,,Base value,,Base value,3,3,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_10_2026-03-04_15-11-10.jpg,Mezzo Forte,Mezzo Forte,match,Reapply current stance and recover 2-4 AP.,Utility skill.,Base,"No direct damage multiplier, consistent with utility behavior.",games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,,,,,,,,,,,,,,1.0,,direct,,Base value,,Base value,1,1,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_11_2026-03-04_15-11-10.jpg,Offensive Switch,Offensive Switch,match,100% damage. [1x] Uses weapon element.,Applies Defenceless on hit.,Base,Base multiplier aligns with sheet row.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1,,,,,,,,,,1,,Offensive,1.0,Weapon,direct,1.0,Base value,1.0,Base value,1,1,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_12_2026-03-04_15-11-10.jpg,Égide,Egide,match_name_variant,Protect allies by taking damage in their place for 2 turns.,Increase duration by 1 turn when gaining Shell.,Base,Name is accented in screenshot; utility behavior matches row notes.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,,,,,,,,,,,,,Defensive,3.0,,direct,,Base value,,Base value,3,3,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_13_2026-03-04_15-11-10.jpg,Percée,Percee,match_name_variant,220% Physical damage. [1x],Mark: +100% damage. Virtuose: costs 2 AP instead.,Marked target + Virtuoso stance,Name differs only by accent; marked breakpoint and Virtuoso AP-cost reduction align (calculator also applies stance multiplier).,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,2.2,,,,,,,,,,4.4,Marked,Defensive,5.0,Physical,marked,2.2,Base value | breakpoint: Marked,13.2,Marked target | Virtuoso stance,5,2,,,,,,,,,,,,,,,,,,,,,,,
maelle,photo_14_2026-03-04_15-11-10.jpg,Spark,Spark,match,100% Fire damage. [1x],Applies 3 Burn. Offensive: applies 2 more Burn.,Base,Base multiplier aligns; extra-burn effect is utility text outside direct damage multiplier.,games/expedition33/calculator/enhanced_descriptions_mod/maelle/maelle_mod_verification.csv,1,,,,,,,,,,1,,Defensive,3.0,Fire,direct,1.0,Base value,1.0,Base value,3,3,,,,,,,,,,,,,,,,,,,,,,,
monoco,photo_1_2026-03-04_15-33-11.jpg,Moissonneuse Vendange,Moissonneuse Vendange,match,300% Physical damage over 3 hits. [0.5x] Can Stun.,Balanced: deals 200% more damage.,Balanced mask active,Base and mask-active damage branches align (3.0 -> 9.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,,,Mask active,,,,,,,,,5.0,Physical,,,,9.0,Mask active,,5,Balanced,mask,3.0,Base value | breakpoint: Mask active,5,,,,,,,,,,,,,,,,,,
monoco,photo_2_2026-03-04_15-33-11.jpg,Orphelin Cheers,Orphelin Cheers,match,Apply Powerful to 1-3 allies.,Caster: allies restore 3 AP.,Caster mask active,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,-,,,,,,,,,,,,,3.0,-,,,,,No direct damage,,3,Caster,utility,,No direct damage,3,,,,,,,,,,,,,,,,,,
monoco,photo_3_2026-03-04_15-33-11.jpg,Ramasseur Bonk,Ramasseur Bonk,needs_clarification,80% Dark damage. [1x] Can Stun.,Agile: fills 20% of target's Break bar on hit.,Agile mask active,Screenshot emphasizes break-bar effect; current generic-mask fallback also multiplies direct damage when mask is active.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,0.8,,,,,,,,,,,,,2.0,Dark,,,,2.4,Base value | Agile mask bonus,,2,Agile,direct,0.8,Base value,2,,,,,,,,,,,,,,,,,,
monoco,photo_4_2026-03-04_15-33-11.jpg,Potier Energy,Potier Energy,match,All allies restore 1-3 AP.,Caster: 1 more AP restored.,Caster mask active,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,-,,,,,,,,,,,,,,-,,,,,No direct damage,,-,Caster,utility,,No direct damage,-,,,,,,,,,,,,,,,,,,
monoco,photo_5_2026-03-04_15-33-11.jpg,Stalact Punches,Stalact Punches,match,180% Ice damage over 4 hits. [1.5x],Heavy: deals 200% more damage.,Heavy mask active,Base and mask-active damage branches align (1.8 -> 5.4).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.8,5.4,,,Mask active,,,,,,,,,4.0,Ice,,,,5.4,Mask active,,4,Heavy,mask,1.8,Base value | breakpoint: Mask active,4,,,,,,,,,,,,,,,,,,
monoco,photo_6_2026-03-04_15-33-11.jpg,Échassier Stabs,Echassier Stabs,match_name_variant,300% Physical damage over 2 hits. [0.7x],Last hit applies Mark. Agile: deals 200% more damage.,Agile mask active,Name uses accented spelling in screenshot; damage branches align (3.0 -> 9.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,,,Mask active,,,,,,,,,4.0,Physical,,,,9.0,Mask active,,4,Agile,mask,3.0,Base value | breakpoint: Mask active,4,,,,,,,,,,,,,,,,,,
monoco,photo_7_2026-03-04_15-33-11.jpg,Échassier Stabs,Echassier Stabs,match_name_variant,300% Physical damage over 2 hits. [0.7x],Last hit applies Mark. Agile: deals 200% more damage.,Agile mask active,Name uses accented spelling in screenshot; damage branches align (3.0 -> 9.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,,,Mask active,,,,,,,,,4.0,Physical,,,,9.0,Mask active,,4,Agile,mask,3.0,Base value | breakpoint: Mask active,4,,,,,,,,,,,,,,,,,,
monoco,photo_8_2026-03-04_15-33-11.jpg,Stalact Punches,Stalact Punches,match,180% Ice damage over 4 hits. [1.5x],Heavy: deals 200% more damage.,Heavy mask active,Base and mask-active damage branches align (1.8 -> 5.4).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.8,5.4,,,Mask active,,,,,,,,,4.0,Ice,,,,5.4,Mask active,,4,Heavy,mask,1.8,Base value | breakpoint: Mask active,4,,,,,,,,,,,,,,,,,,
monoco,photo_9_2026-03-04_15-33-11.jpg,Sakapatate Slam,Sakapate Slam,match_name_variant,300% Physical damage to all enemies. [1x],Mark: +100% damage. Heavy: +200% damage.,Heavy mask active + marked target,"Spelling varies in screenshot; branches align (base 3.0, mask 9.0, mask+marked 18.0).",games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,18,,Mask active,Mask active + marked target,,,,,,,,7.0,Physical,,,,18.0,Mask active + marked target,,7,Heavy,mask_marked,3.0,Base value | breakpoint: Mask active,7,,,,,,,,,,,,,,,,,,
monoco,photo_10_2026-03-04_15-33-11.jpg,Sakapatate Estoc,Sakapate Estoc,mismatch,150% Lightning damage. [1x],Deals 500% more damage to stunned targets. Balanced: deals 200% more damage.,Balanced mask active + stunned target,Current row/logic model mask damage (1.5 -> 4.5) but do not model the screenshot's explicit stunned-target multiplier.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.5,4.5,,,Mask active,,,,,,,,,3.0,Lightning,,,,4.5,Mask active,,3,Balanced,mask,1.5,Base value | breakpoint: Mask active,3,,,,,,,,,,,,,,,,,,
monoco,photo_11_2026-03-04_15-33-11.jpg,Sakapatate Slam,Sakapate Slam,match_name_variant,300% Physical damage to all enemies. [1x],Mark: +100% damage. Heavy: +200% damage.,Heavy mask active + marked target,"Spelling varies in screenshot; branches align (base 3.0, mask 9.0, mask+marked 18.0).",games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,18,,Mask active,Mask active + marked target,,,,,,,,7.0,Physical,,,,18.0,Mask active + marked target,,7,Heavy,mask_marked,3.0,Base value | breakpoint: Mask active,7,,,,,,,,,,,,,,,,,,
monoco,photo_12_2026-03-04_15-33-11.jpg,Sakapatate Estoc,Sakapate Estoc,mismatch,150% Lightning damage. [1x],Deals 500% more damage to stunned targets. Balanced: deals 200% more damage.,Balanced mask active + stunned target,Current row/logic model mask damage (1.5 -> 4.5) but do not model the screenshot's explicit stunned-target multiplier.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.5,4.5,,,Mask active,,,,,,,,,3.0,Lightning,,,,4.5,Mask active,,3,Balanced,mask,1.5,Base value | breakpoint: Mask active,3,,,,,,,,,,,,,,,,,,
monoco,photo_13_2026-03-04_15-33-11.jpg,Ramasseur Bonk,Ramasseur Bonk,needs_clarification,80% Dark damage. [1x] Can Stun.,Agile: fills 20% of target's Break bar on hit.,Agile mask active,Screenshot emphasizes break-bar effect; current generic-mask fallback also multiplies direct damage when mask is active.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,0.8,,,,,,,,,,,,,2.0,Dark,,,,2.4,Base value | Agile mask bonus,,2,Agile,direct,0.8,Base value,2,,,,,,,,,,,,,,,,,,
monoco,photo_14_2026-03-04_15-33-11.jpg,Orphelin Cheers,Orphelin Cheers,match,Apply Powerful to 1-3 allies.,Caster: allies restore 3 AP.,Caster mask active,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,-,,,,,,,,,,,,,3.0,-,,,,,No direct damage,,3,Caster,utility,,No direct damage,3,,,,,,,,,,,,,,,,,,
monoco,photo_15_2026-03-04_15-33-11.jpg,Potier Energy,Potier Energy,match,All allies restore 1-3 AP.,Caster: 1 more AP restored.,Caster mask active,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,-,,,,,,,,,,,,,,-,,,,,No direct damage,,-,Caster,utility,,No direct damage,-,,,,,,,,,,,,,,,,,,
monoco,photo_16_2026-03-04_15-33-11.jpg,Moissonneuse Vendange,Moissonneuse Vendange,match,300% Physical damage over 3 hits. [0.5x] Can Stun.,Balanced: deals 200% more damage.,Balanced mask active,Base and mask-active damage branches align (3.0 -> 9.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,9,,,Mask active,,,,,,,,,5.0,Physical,,,,9.0,Mask active,,5,Balanced,mask,3.0,Base value | breakpoint: Mask active,5,,,,,,,,,,,,,,,,,,
monoco,photo_17_2026-03-04_15-33-11.jpg,Lancelier Impale,Lancelier Impale,match,120% Ice damage. [1x],Applies Slow on hit. Agile: deals 200% more damage.,Agile mask active,Base and mask-active damage branches align (1.2 -> 3.6).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.2,3.6,,,Mask active,,,,,,,,,2.0,Ice,,,,3.6,Mask active,,2,Agile,mask,1.2,Base value | breakpoint: Mask active,2,,,,,,,,,,,,,,,,,,
