character,photo,skill_in_screenshot,csv_skill_name,status,mod_base_text,mod_condition_text,focus_state_label,notes,source_csv,csv_damage_multi,csv_dmg_con1,csv_dmg_max,csv_all_crit_dmg,csv_condition_1,csv_con_max_dmg,csv_consume_stains,csv_required_stains,csv_damage_element,csv_lune_mode,csv_dmmax,csv_condition,csv_stance,csv_cost,csv_element,csv_maelle_mode,calc_base_stanceless_multiplier,calc_base_stanceless_scenario,calc_focus_multiplier,calc_focus_scenario,cost_base_stanceless,cost_focus,csv_mask,csv_monoco_mode,calc_base_nomask_multiplier,calc_base_nomask_scenario,cost_base_nomask,csv_condmg,csv_twilightdmg,csv_contwilight,csv_foretell,csv_lunar,csv_attack_type,calc_base_0f_multiplier,calc_base_0f_scenario,calc_10f_multiplier,calc_10f_scenario,calc_10f_twilight_multiplier,calc_10f_twilight_scenario,csv_srankmax,csv_grade_bonus,csv_verso_mode,calc_base_d_multiplier,calc_base_d_scenario,cost_base_d
monoco,photo_18_2026-03-04_15-33-11.jpg,Hexga Crush,Hexga Crush,needs_clarification,240% Earth damage over 2 hits. [0.7x],Last hit applies Defenceless. Heavy: Defenceless lasts 5 turns.,Heavy mask active,Screenshot describes Heavy mask as utility duration effect; current generic-mask fallback also multiplies direct damage when mask is active.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,2.4,,,,,,,,,,,,,5.0,Earth,,,,7.2,Base value | Heavy mask bonus,,5,Heavy,direct,2.4,Base value,5,,,,,,,,,,,,,,,,,,
monoco,photo_19_2026-03-04_15-33-11.jpg,Glaise Earthquakes,Glaise Earthquakes,needs_clarification,900% Earth damage to all enemies over 3 hits. [0.5x],Gain Powerful on completion. Heavy: also apply Powerful to allies.,Heavy mask active,Screenshot frames Heavy mask as buff propagation; current generic-mask fallback adds a direct damage multiplier when mask is active.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,9,,,,,,,,,,,,,4.0,Earth,,,,27.0,Base value | Heavy mask bonus,,4,Heavy,direct,9.0,Base value,4,,,,,,,,,,,,,,,,,,
monoco,photo_20_2026-03-04_15-33-11.jpg,Démineur Thunder,Demineur Thunder,mismatch,100% Lightning damage. [5x],Caster: deals 100% more Break damage.,Caster mask active,"Screenshot percent and break-focused mask effect conflict with current row/logic values (Damage Multi 0.1, plus generic mask damage fallback).",games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,0.1,,,,,,,,,,,,,2.0,Lightning,,,,0.3,Base value | Caster mask bonus,,2,Caster,direct,0.1,Base value,2,,,,,,,,,,,,,,,,,,
monoco,photo_21_2026-03-04_15-33-11.jpg,Cultist Slashes,Cultists Slashes,needs_clarification,210% Dark damage over 3 hits. [0.5x],Deals +2.5% damage per missing HP% (max 250%). Agile: deals 200% more damage.,Agile mask active + low life,"Current model uses low-life breakpoint states, while screenshot describes continuous missing-HP scaling.",games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,2.1,6.3,15.75,,Mask active,Mask active + 1 HP,,,,,,,,3.0,Dark,,,,15.75,Mask active + low life,,3,Agile,mask_low_life,2.1,Base value | breakpoint: Mask active,3,,,,,,,,,,,,,,,,,,
monoco,photo_22_2026-03-04_15-33-11.jpg,Cruler Barrier,Cruler Barrier,match,An ally gains 1-2 Shields.,Heavy: ally restores 2 AP.,Heavy mask active,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,-,,,,,,,,,,,,,4.0,-,,,,,No direct damage,,4,Heavy,utility,,No direct damage,4,,,,,,,,,,,,,,,,,,
monoco,photo_23_2026-03-04_15-33-11.jpg,Bénisseur Mortar,Benissuer Mortar,match_name_variant,240% Ice damage over 3 hits. [0.5x],Mark: switch to Almighty mask. Caster: deals 200% more damage.,Caster mask active,Name spelling differs; base and mask-active damage branches align (2.4 -> 7.2).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,2.4,7.2,,,Mask active,,,,,,,,,5.0,Ice,,,,7.2,Mask active,,5,Caster,mask,2.4,Base value | breakpoint: Mask active,5,,,,,,,,,,,,,,,,,,
monoco,photo_24_2026-03-04_15-33-11.jpg,Braseleur Smash,Braseleur Smash,match,180% Fire damage over 2 hits. [0.7x],Applies 3 Burn on hit. Balanced: deals 200% more damage.,Balanced mask active,Base and mask-active damage branches align (1.8 -> 5.4).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.8,5.4,,,Mask active,,,,,,,,,4.0,Fire,,,,5.4,Mask active,,4,Balanced,mask,1.8,Base value | breakpoint: Mask active,4,,,,,,,,,,,,,,,,,,
monoco,photo_25_2026-03-04_15-33-11.jpg,Ballet Charm,Ballet Charm,match,80% Light damage. [1x],Applies Powerless on hit. Caster: deals 200% more damage.,Caster mask active,Base and mask-active damage branches align (0.8 -> 2.4).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,0.8,2.4,,,Mask active,,,,,,,,,2.0,Light,,,,2.4,Mask active,,2,Caster,mask,0.8,Base value | breakpoint: Mask active,2,,,,,,,,,,,,,,,,,,
monoco,photo_26_2026-03-04_15-33-11.jpg,Clair Enfeeble,Clair Enfeeble,match,175% Light damage to all enemies. [1x],Applies Powerless on hit. Balanced: deals 200% more damage.,Balanced mask active,Base and mask-active damage branches align (1.75 -> 5.25).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.75,5.25,,,Mask active,,,,,,,,,5.0,Light,,,,5.25,Mask active,,5,Balanced,mask,1.75,Base value | breakpoint: Mask active,5,,,,,,,,,,,,,,,,,,
monoco,photo_37_2026-03-04_15-33-11.jpg,Luster Slices,Luster Slices,match,180% Physical damage over 3 hits. [0.5x],Gain Rush on hit. Agile: deals 200% more damage.,Agile mask active,Base and mask-active damage branches align (1.8 -> 5.4).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.8,5.4,,,Mask active,,,,,,,,,3.0,Physical,,,,5.4,Mask active,,3,Agile,mask,1.8,Base value | breakpoint: Mask active,3,,,,,,,,,,,,,,,,,,
monoco,photo_38_2026-03-04_15-33-11.jpg,Jar Lampstorm,Jar Lampstorm,match,200% Physical damage to all enemies over 4 hits. [0.4x],Gain Shell on hit. Heavy: deals 200% more damage.,Heavy mask active,Base and mask-active damage branches align (2.0 -> 6.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,2,6,,,Mask active,,,,,,,,,5.0,Physical,,,,6.0,Mask active,,5,Heavy,mask,2.0,Base value | breakpoint: Mask active,5,,,,,,,,,,,,,,,,,,
monoco,photo_39_2026-03-04_15-33-11.jpg,Grosse Tête Whack,Grosse Tete Whack,match_name_variant,300% Physical damage over 5 hits. [0.3x],Last hit applies Defenceless. Heavy: deals 100% more damage.,Heavy mask active,Name uses accented spelling in screenshot; damage branches align (3.0 -> 6.0).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,3,6,,,Mask active,,,,,,,,,6.0,Physical,,,,6.0,Mask active,,6,Heavy,mask,3.0,Base value | breakpoint: Mask active,6,,,,,,,,,,,,,,,,,,
monoco,photo_40_2026-03-04_15-33-11.jpg,Gault Fury,Gault Fury,match,160% Physical damage over 4 hits. [0.4x],Last hit applies Mark. Balanced: deals 200% more damage.,Balanced mask active,Base and mask-active damage branches align (1.6 -> 4.8).,games/expedition33/calculator/enhanced_descriptions_mod/monoco/monoco_mod_verification.csv,1.6,4.8,,,Mask active,,,,,,,,,3.0,Physical,,,,4.8,Mask active,,3,Balanced,mask,1.6,Base value | breakpoint: Mask active,3,,,,,,,,,,,,,,,,,,
sciel,photo_1_2026-03-04_14-58-17.jpg,Focused Foretell,Focused Foretell,match,100% Physical damage. [1x],Apply 2 Foretell on hit; apply 5 instead if target had no Foretell.,,Damage component matches base multiplier; foretell application behavior is informational.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,1,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,2-5,Sun,Skill,1.0,Base value,1.0,Base value,1.0,Base value,,,,,,
sciel,photo_2_2026-03-04_14-58-17.jpg,Harvest,Harvest,match,200% damage. [1x] Uses weapon element.,Restore 40% Health; consume all Foretell for +5% healing per stack.,,Damage multiplier matches; healing scaling is outside direct damage multiplier logic.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2,,,,,,,,,,,,,,Weapon,,,,,,,,,,,,,,,,Consume all,Moon,Skill,2.0,Base value,2.0,Base value,2.0,Base value,,,,,,
sciel,photo_3_2026-03-04_14-58-17.jpg,Dark Wave,Dark Wave,match,300% Dark damage to all enemies over 3 hits. [0.5x],Deals +25% more damage per Foretell; consumes all Foretell on completion.,,"Runtime matches derived scaling (3.0 base, 10.5 at 10 Foretell, 27.0 at Twilight+10 Foretell).",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,3,,,,,,,,,,,10 Foretell,,,Dark,,,,,,,,,,,,,10.5,27,Twilight + 10 Foretell,Consume all,Moon,Skill,3.0,0 Foretell,10.5,10 Foretell,27.0,"20 Twilight-effective Foretell from 10 applied Foretell, Twilight",,,,,,
sciel,photo_4_2026-03-04_14-58-17.jpg,Card Weaver,Card Weaver,match,200% Physical damage. [1x],Propagates Foretell to other enemies and grants a second turn.,,Direct damage matches; extra-turn utility effect is not folded into damage multiplier.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,Sun,Skill,2.0,Base value,2.0,Base value,2.0,Base value,,,,,,
sciel,photo_5_2026-03-04_14-58-17.jpg,Phantom Blade,Phantom Blade,match,300% Dark damage. [1x],Consumes all Foretell: +35% damage per stack. Can Stun.,,"Runtime matches foretell formula (3.0 base, 13.5 at 10 Foretell, 36.0 at Twilight+10 Foretell).",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,3,,,,,,,,,,,10 Foretell,,,Dark,,,,,,,,,,,,,13.5,36,Twilight + 10 Foretell,Consume all,Moon,Skill,3.0,0 Foretell,13.5,10 Foretell,36.0,"20 Twilight-effective Foretell from 10 applied Foretell, Twilight",,,,,,
sciel,photo_6_2026-03-04_14-58-17.jpg,Spectral Sweep,Spectral Sweep,match,100-300% damage over 2-6 hits. [0.2x] Uses weapon element.,Apply 1 Foretell on hit; critical hits apply 1 extra Foretell.,,Damage row is direct/base in current model; foretell application/crit foretell gain are informational.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,1,,,,,,,,,,,,,,Weapon,,,,,,,,,,,,,,,,6-12,Sun,Skill,1.0,Base value,1.0,Base value,1.0,Base value,,,,,,
sciel,photo_7_2026-03-04_14-58-17.jpg,Sealed Fate,Sealed Fate,needs_clarification,200-280% damage over 5-7 hits. [0.1x] Uses weapon element.,Consumes 1 Foretell: +200% damage; crits keep the bonus without consuming.,,"Current model uses sheet breakpoints (2.0 base, 6.0 conditional, 9.0 Twilight). Screenshot range wording may imply per-hit variance beyond modeled breakpoint selection.",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2,,,,,,,,,,,1+ Foretell,,,Weapon,,,,,,,,,,,,,6,9,Twilight,Consume 0-6,Moon,Skill,2.0,Base value | breakpoint: 1+ Foretell,6.0,10 Foretell,9.0,"20 Twilight-effective Foretell, Twilight",,,,,,
sciel,photo_8_2026-03-04_14-58-17.jpg,Twilight Slash,Twilight Slash,match,100% Dark damage. [1x],Consumes all Foretell: +25% damage per stack.,,"Runtime matches derived scaling (1.0 base, 3.5 at 10 Foretell, 9.0 at Twilight+10 Foretell).",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,1,,,,,,,,,,,10 Foretell,,,Dark,,,,,,,,,,,,,3.5,9,Twilight + 10 Foretell,Consume all,Moon,Skill,1.0,0 Foretell,3.5,10 Foretell,9.0,"20 Twilight-effective Foretell from 10 applied Foretell, Twilight",,,,,,
sciel,photo_9_2026-03-04_14-58-17.jpg,Searing Bond,Searing Bond,match,250% Dark damage. [1x],Applies 5 Foretell on hit; also hits other Burning enemies.,,Direct damage matches base row; spread/conditional targeting effect is informational.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2.5,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,5,Sun,Skill,2.5,Base value,2.5,Base value,2.5,Base value,,,,,,
sciel,photo_10_2026-03-04_14-58-17.jpg,Marking Card,Marking Card,match,200% Dark damage over 2 hits. [0.7x],First hit applies 3 Foretell; last hit applies Mark.,,Damage component matches base row.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,3,Sun,Skill,2.0,Base value,2.0,Base value,2.0,Base value,,,,,,
sciel,photo_11_2026-03-04_14-58-17.jpg,Rush,Rush,match,Apply Rush to 1-3 allies.,Utility skill with no direct damage multiplier.,,Current model returns no direct damage for this utility skill.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sun,Skill,,Base value,,Base value,,Base value,,,,,,
sciel,photo_12_2026-03-04_14-58-17.jpg,Twilight Dance,Twilight Dance,match,600% Dark damage over 4 hits. [0.4x],During Twilight extends Twilight by 1 turn; +25% damage per Foretell; consumes all Foretell.,,"Runtime matches derived scaling (6.0 base, 21.0 at 10 Foretell, 54.0 at Twilight+10 Foretell).",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,6,,,,,,,,,,,10 Foretell,,,Dark,,,,,,,,,,,,,21,54,Twilight + 10 Foretell,Consume all,Moon,Skill,6.0,0 Foretell,21.0,10 Foretell,54.0,"20 Twilight-effective Foretell from 10 applied Foretell, Twilight",,,,,,
sciel,photo_13_2026-03-04_14-58-17.jpg,Grim Harvest,Grim Harvest,match,300% Dark damage. [1x],All allies restore 30% Health; consume all Foretell for +5% healing per stack.,,Damage multiplier matches; healing scaling is outside direct damage multiplier logic.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,3,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,Consume all,Moon,Skill,3.0,Base value,3.0,Base value,3.0,Base value,,,,,,
sciel,photo_14_2026-03-04_14-58-17.jpg,Delaying Slash,Delaying Slash,match,300% damage over 2 hits. [0.7x] Uses weapon element.,Deals +30% damage per Foretell; consumes Foretell on completion; delays target turn.,,"Runtime matches foretell formula (3.0 base, 12.0 at 10 Foretell, 31.5 at Twilight+10 Foretell).",games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,3,,,,,,,,,,,10 Foretell,,,Weapon,,,,,,,,,,,,,12,31.5,Twilight + 10 Foretell,Consume all,Moon,Skill,3.0,0 Foretell,12.0,10 Foretell,31.5,"20 Twilight-effective Foretell from 10 applied Foretell, Twilight",,,,,,
sciel,photo_15_2026-03-04_14-58-17.jpg,Dark Cleansing,Dark Cleansing,match,Cleanse ally status effects and propagate buffs to all allies.,Utility skill with no direct damage multiplier.,,Current model returns no direct damage for this utility skill.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,Skill,,Base value,,Base value,,Base value,,,,,,
sciel,photo_16_2026-03-04_14-58-17.jpg,Bad Omen,Bad Omen,match,200% Dark damage to all enemies over 2 hits. [0.7x],Applies 2 Foretell on hit.,,Damage component matches base row.,games/expedition33/calculator/enhanced_descriptions_mod/sciel/sciel_mod_verification.csv,2,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,4,Sun,Skill,2.0,Base value,2.0,Base value,2.0,Base value,,,,,,
verso,photo_3_2026-03-04_15-02-26.jpg,Berserk Slash,Berserk Slash,needs_clarification,60% Physical damage over 3 hits. [0.5x],Deals +15% more damage per missing HP% (max 1500%). C: deals 50% more damage.,"C Rank, 99% missing HP","Base and rank text align, but screenshot wording suggests separate missing-HP scaling plus C bonus; current model ties missing-HP scaling to C-rank branch and also applies generic rank bonus.",games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,0.6,,,,,C Rank + 99% missing HP,,,,,,C Rank,,4.0,Physical,,,,11.89,99% missing HP | C Rank | C Rank bonus,,4,,,,,,0.9,,,,,Skill,,,,,,,14.265,C,berserk,0.6,0% missing HP,4
verso,photo_4_2026-03-04_15-02-26.jpg,Follow Up,Follow Up,match,200% Light damage. [1x],Deals +50% per Free Aim shot this turn (max 500%). S: costs 2 AP.,"S Rank, 10 shots",Matches formula and AP cost reduction handling.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,2,,,,,,,,,,,10 shots,,5.0,Light,,,,36.0,10 ranged shot(s) | S Rank bonus,,2,,,,,,12,,,,,Skill,,,,,,,,S,follow_up,2.0,Base value,5
verso,photo_5_2026-03-04_15-02-26.jpg,Leadership,Leadership,match,Decrease rank. Other allies restore 2-4 AP.,C: 1 more AP restored.,C Rank,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,-,,,,,,,,,,,,,3.0,-,,,,,No direct damage,,3,,,,,,,,,,,Skill,,,,,,,,C,utility,,No direct damage,3
verso,photo_6_2026-03-04_15-02-26.jpg,Ascending Assault,Ascending Assault,match,250% damage. [1x] Uses weapon element.,Deals +30% more per previous cast (max 150%). S: costs 2 AP.,"S Rank, use 6",Matches per-use scaling branch and AP cost reduction handling.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,2.5,,,,,,,,,,,Use 6,,5.0,Weapon,,,,18.75,Use 6 | S Rank bonus,,2,,,,,,6.25,,,,,Skill,,,,,,,,S,ascending_assault,2.5,Base value,5
verso,photo_7_2026-03-04_15-02-26.jpg,Perfect Break,Perfect Break,match,500% Light damage. [1x] Can Stun.,Set rank to S on Stun. B: costs 5 AP.,B Rank,Damage is direct/base; B-rank AP cost reduction is modeled.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,5,,,,,,,,,,,,,7.0,Light,,,,7.5,Base value | B Rank bonus,,5,,,,,,,,,,,Skill,,,,,,,,B,rank_cost,5.0,Base value,7
verso,photo_8_2026-03-04_15-02-26.jpg,Purification,Purification,match,250% Light damage over 2 hits. [0.7x],Cleanse Verso on cast. B: deals 100% more damage.,B Rank,Base and B-rank conditional values align.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,2.5,,,,,,,,,,,B Rank,,5.0,Light,,,,7.5,B Rank | B Rank bonus,,5,,,,,,5,,,,,Skill,,,,,,,,B,rank_damage,2.5,Base value | breakpoint: B Rank,5
verso,photo_9_2026-03-04_15-02-26.jpg,Light Holder,Light Holder,match,150% Light damage over 5 hits. [0.3x],Increase rank on completion. A: recover 2 AP.,A Rank,Direct damage row matches; AP utility text aligns with notes.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,1.5,,,,,,,,,,,,,4.0,Light,,,,3.0,Base value | A Rank bonus,,4,,,,,,,,,,,Skill,,,,,,,,A,direct,1.5,Base value,4
verso,photo_10_2026-03-04_15-02-26.jpg,From Fire,From Fire,match,187.5% damage over 3 hits. [0.5x] Uses weapon element.,Recover 20% Health if target is Burning. B: deals 100% more damage.,B Rank,Base and B-rank conditional values align.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,1.875,,,,,,,,,,,B Rank,,4.0,Weapon,,,,5.62,B Rank | B Rank bonus,,4,,,,,,3.75,,,,,Skill,,,,,,,,B,rank_damage,1.875,Base value | breakpoint: B Rank,4
verso,photo_11_2026-03-04_15-02-26.jpg,Radiant Slash,Radiant Slash,match,70% Light damage to all enemies. [0.2x] Can Stun.,C: deals 50% more damage.,C Rank,Base and C-rank conditional values align.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,0.7,,,,,,,,,,,C Rank,,2.0,Light,,,,1.31,C Rank | C Rank bonus,,2,,,,,,1.05,,,,,Skill,,,,,,,,C,rank_damage,0.7,Base value | breakpoint: C Rank,2
verso,photo_12_2026-03-04_15-02-26.jpg,Blitz,Blitz,match,150% Physical damage. [1x],Kills non-boss enemies below 10% HP. Play a second turn. B: deals 50% more damage.,B Rank,Base and B-rank conditional values align.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,1.5,,,,,,,,,,,B Rank,,3.0,Physical,,,,3.38,B Rank | B Rank bonus,,3,,,,,,2.25,,,,,Skill,,,,,,,,B,rank_damage,1.5,Base value | breakpoint: B Rank,3
verso,photo_13_2026-03-04_15-02-26.jpg,Perfect Recovery,Perfect Recovery,match,Recover 50% Health and cleanse Status Effects. Gain 0-2 Perfection.,C: recover 100% Health instead.,C Rank,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,-,,,,,,,,,,,,,3.0,-,,,,,No direct damage,,3,,,,,,,,,,,Skill,,,,,,,,C,utility,,No direct damage,3
verso,photo_14_2026-03-04_15-02-26.jpg,Assault Zero,Assault Zero,match,125% damage over 5 hits. [0.3x] Uses weapon element.,Critical hits generate 1 more Perfection. B: deals 100% more damage.,B Rank,Base and B-rank conditional values align.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,1.25,,,,,,,,,,,B Rank,,3.0,Physical,,,,3.75,B Rank | B Rank bonus,,3,,,,,,2.5,,,,,Skill,,,,,,,,B,rank_damage,1.25,Base value | breakpoint: B Rank,3
verso,photo_15_2026-03-04_15-02-26.jpg,Overload,Overload,mismatch,Set Health to 1. Recover all AP and set rank to A.,Utility skill.,A Rank,"Current row notes say Overload sets rank to S, while screenshot text says rank A.",games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,-,,,,,,,,,,,,,0.0,Physical,,,,,No direct damage,,0,,,,,,,,,,,Skill,,,,,,,,-,utility,,No direct damage,0
verso,photo_16_2026-03-04_15-02-26.jpg,Powerful,Powerful,match,Apply Powerful to 1-3 allies. Gain 0-2 Perfection.,A: duration increased to 5 turns.,A Rank,Utility skill; no direct damage multiplier in calculator.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,-,,,,,,,,,,,,,3.0,-,,,,,No direct damage,,3,,,,,,,,,,,Skill,,,,,,,,A,utility,,No direct damage,3
verso,photo_17_2026-03-04_15-02-26.jpg,Quick Strike,Quick Strike,needs_clarification,100% Physical damage. [1x],D: gain 10 Perfection.,D Rank,Damage row matches; screenshot provides explicit 10-Perfection amount while sheet notes only say D-rank gives more Perfection.,games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,1,,,,,,,,,,,,,2.0,Physical,,,,1.0,Base value,,2,,,,,,,,,,,Skill,,,,,,,,D,direct,1.0,Base value,2
verso,photo_18_2026-03-04_15-02-26.jpg,Speed Burst,Speed Burst,match,250% Light damage over 5 hits. [0.3x],Speed difference increases damage up to +100%. C: deals 100% more damage.,C Rank + max speed bonus,"Mode branch supports base, speed-only bonus, C-rank bonus, and C+max-speed combined maximum.",games/expedition33/calculator/enhanced_descriptions_mod/verso/verso_mod_verification.csv,2.5,,,,,C Rank + max speed bonus,,,,,,C Rank,,6.0,Light,,,,10.0,C Rank + max speed bonus,,6,,,,,,5,,,,,Skill,,,,,,,10,C,speed_burst,2.5,Base value | breakpoint: C Rank,6
